HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
29369,29322.92993,1.183932781,-0.44532153,8.63109684,0.065016843,0.001598775,-0.0063951,-7.874684811,1.499940038,3.974841118,29.79999924,99157,215.5730438,169.2156982,0,0,0,0
29409,29362.36426,1.361103654,-0.357933164,8.641871452,0.072211333,0.007727412,-0.007194487,-7.774689198,1.516605973,4.058170795,29.79999924,99157,215.4036407,168.9619446,0,0,0,0
29449,29406.12134,1.252167463,-0.302866518,8.661025047,0.058888208,-0.003464012,-0.005329249,-7.849686146,1.499940038,4.058170795,29.79999924,99157,215.7424622,169.1821594,0,0,0,0
29493,29485.52539,1.238999367,-0.458489627,8.598775864,0.062885143,0.005862175,-0.006661562,-7.849686146,1.516605973,4.058170795,29.79999924,99156,216.0807648,169.0648499,0,0,0,0
29572,29525.51611,1.292868972,-0.436941803,8.596381187,0.070079632,-0.001332312,-0.007194487,-7.874684811,1.416610003,4.016506195,29.79999924,99156,215.9960632,169.8019104,0,0,0,0
29612,29564.4624,1.270123959,-0.287304193,8.58081913,0.063418068,0.009059724,-0.005862175,-7.891351223,1.499940038,4.016506195,29.79999924,99156,215.9113617,169.2379456,0,0,0,0
29652,29610.22754,1.364694953,-0.414196908,8.653841972,0.05808882,0.0042634,-0.005595712,-7.916349888,1.499940038,4.04150486,29.79999924,99156,215.8266449,169.2711487,0,0,0,0
29692,29645.40576,1.249773264,-0.421379507,8.647856712,0.07087902,0.005862175,-0.009592649,-7.849686146,1.541604996,3.999840021,29.79999924,99156,216.0807648,168.8890533,0,0,0,0
29732,29685.40771,1.314416766,-0.353144765,8.602366447,0.065816231,0.005595712,-0.005862175,-7.891351223,1.541604996,4.14150095,29.79999924,99156,215.7424622,168.9462738,0,0,0,0
29772,29724.14136,1.279700756,-0.403422982,8.620323181,0.064483918,-0.001598775,-0.009059724,-7.874684811,1.474941015,4.04150486,29.79999924,99156,215.6577454,169.3913269,0,0,0,0
